DataKey,rgb,label,(times),DATE,totEarNum,SPAD,LAI,dsm,time,days
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_brightenFlipped.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_flipped.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_brightenOriginal.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_darkenFlipped.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_flipped.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_darkenOriginal.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_flipped.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_flipped.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_jittered.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_noisy.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_original.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_rotated.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_rotated.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_original_enhanced_zoomed.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_zoomed.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_brightenFlipped.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_flipped.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_brightenOriginal.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_darkenFlipped.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_flipped.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_darkenOriginal.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_flipped.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_flipped.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_jittered.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_noisy.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_original.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/DSM_202504170935_1_original_correctedTilt.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_rotated.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_rotated.tif,9.583333333333334,167
202504170935_1,/RGB/RGB_202504170935/RGB_202504170935_1/Augmented/RGB_202504170935_1_raw1_enhanced_zoomed.jpg,1,6,17/4/2025,594,45.5,7.343,/DSM/DSM_202504170935/DSM_202504170935_1/Augmented/DSM_202504170935_1_original_zoomed.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_brightenFlipped.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_flipped.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_brightenOriginal.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_darkenFlipped.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_flipped.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_darkenOriginal.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_flipped.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_flipped.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_jittered.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_noisy.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_original.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_rotated.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_rotated.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_original_enhanced_zoomed.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_zoomed.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_raw1_enhanced_brightenFlipped.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_flipped.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_raw1_enhanced_brightenOriginal.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_raw1_enhanced_darkenFlipped.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_flipped.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_raw1_enhanced_darkenOriginal.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/DSM_202504170935_10_original_correctedTilt.tif,9.583333333333334,167
202504170935_10,/RGB/RGB_202504170935/RGB_202504170935_10/Augmented/RGB_202504170935_10_raw1_enhanced_flipped.jpg,10,6,17/4/2025,487,49.8,4.620,/DSM/DSM_202504170935/DSM_202504170935_10/Augmented/DSM_202504170935_10_original_flipped.tif,9.583333333333334,167
